GTIN,BARCODE,RMS_CODE,DESCRIPTION,CONCEPT_GROUP,BRAND,RETURN_POLICY,SUPPLIER_NAME,ALSHAYA_CODE,RETURNABLE
,,220178618,PALOMA FOOTSPA FOOT SUGAR SCRUB 125ML,FOOTCARE,PALOMA,NO RETURN / NO REPLACEMENT,AL BORJ MEDICINE TRADING,,
,,220178693,DISFLATYL TABLETS,PHARMACY,DISFLATYL,NO RETURN / NO REPLACEMENT,NEW MEDICAL CENTER,,
,,220178897,V MAVALA COND MOIST FOR FEET 75ML,FOOTCARE,MAVALA,NO RETURN / NO REPLACEMENT,MADI,,
,,220178924,GOODSPHERE ESSENCE WOOD 250ML,HEALTHCHECKS,GOODSPHERE,NO RETURN / NO REPLACEMENT,ENVIROHEALTH,,
,,220179612,CELEMAC 200 30CAPS,PHARMACY,CELEMAC,NO RETURN / NO REPLACEMENT,PHARMA � HOUSE,,
,,220179711,MONALTI MONTELUKAST 4MG 30TABS,PHARMACY,MONALTI,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220179809,CENTRAMIN 5MG SYRUP 100ML,GSL,CENTRAMIN,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220201101,V NATROL 5HTP MOOD  STRESS 50MG 45CAPS,COMPLEMENTARY MEDICINE,NATROL,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220180713,VHC HEMOL OINTMENT 30G,PHARMACY,VHC,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220180869,BIOFENDO COLOSTRUM POWDER STCK 30S,VITAMINS/MINERALS/SUPPLEMENTS,BIOFENDO,NO RETURN / NO REPLACEMENT,CIGALAH,,
,,220180968,NEXCARE MAX HOLD WTPRF 12S,FIRST AID,NEXCARE,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220181071,PRIMPERAN TABLETS 20S,PHARMACY,PRIMPERAN,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220181606,NF LYPOTRIM 90 CAP,VITAMINS/MINERALS/SUPPLEMENTS,NATURAL FERVOR,NO RETURN / NO REPLACEMENT,HEALTHCARE LLC,,
,,220181688,JOELLE BEAUTY IN A BOX JELLY STK 450G,SKINCARE,JOELLE,NO RETURN / NO REPLACEMENT,DERMA HEALTH COSMETIC TR.,,
,,220181783,OBESIMED FORTE CAPS 42S,VITAMINS/MINERALS/SUPPLEMENTS,OBESIMED,NO RETURN / NO REPLACEMENT,AL ITTIHAD DRUG STORE,,
,,220181883,VHC NEOFLEX GEL 100G,PHARMACY,VHC,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220181914,BIOFENDO COLOSTRUM CHOCO BARS 20S,VITAMINS/MINERALS/SUPPLEMENTS,BIOFENDO,NO RETURN / NO REPLACEMENT,CIGALAH,,
,,220182259,HAIRGENESIS REJ TABS HAIR SKIN NAIL,VITAMINS/MINERALS/SUPPLEMENTS,HAIRGENESIS,NO RETURN / NO REPLACEMENT,AL BORJ MEDICINE TRADING,,
,,220201190,VTM TULSI WITH GINGER TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220182545,LOCOID LIPOCREAM 30GM,PHARMACY,LOCOID,NO RETURN / NO REPLACEMENT,AL OROOBA,,
,,220182836,KLACID XL TAB 7S,PHARMACY,KLACID,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220201295,VTM LEMON EVERYDAY DETOX TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201296,V TM ORGANIC SMOOTH MOVE PEPPERMNT 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220183160,GELTEC FEMIVIT 30SG,VITAMINS/MINERALS/SUPPLEMENTS,GELTEC,NO RETURN / NO REPLACEMENT,AL MUFID,,
,,220183181,GELTEC RELIEVE 60SG,GSL,GELTEC,NO RETURN / NO REPLACEMENT,AL MUFID,,
,,220201305,VTM GINGER TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220183467,GELTEC LAXI 60SG,GSL,GELTEC,NO RETURN / NO REPLACEMENT,AL MUFID,,
,,220183495,ALFACORT CREAM 15GM,PHARMACY,ALFACORT,NO RETURN / NO REPLACEMENT,AL KAYAN MEDICINE TRADING L.L.C,,
,,220183938,AMS FLORABIOTIX PROB 50BIL 30CAPS,VITAMINS/MINERALS/SUPPLEMENTS,AMS,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220184493,FERRO EASY KIDS 20SACHETS,CHILDRENS HEALTH,FERRO EASY,NO RETURN / NO REPLACEMENT,LUNATUS,,
,,220184549,KLACID 250MG TABLETS 14S,PHARMACY,KLACID,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220201316,SOLGAR MEGASORB VIT B12 2500 MCG NUGGETS 60S,VITAMINS/MINERALS/SUPPLEMENTS,SOLGAR,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220184750,V PHL SUPER B COMPLEX CAP 60S,VITAMINS/MINERALS/SUPPLEMENTS,PHL,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220185001,GELTEC IRO PLUS IRONFA 30SG,VITAMINS/MINERALS/SUPPLEMENTS,GELTEC,NO RETURN / NO REPLACEMENT,AL MUFID,,
,,220201326,V VEGA ONE ASHWAGANDHA SHK TURMRC COC 392G,COMPLEMENTARY MEDICINE,VEGA,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201381,V SOL SFP ASHWAGANDHA ROOT EXT 60CAPS,VITAMINS/MINERALS/SUPPLEMENTS,SOLGAR,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220185539,V PHL MILK THISLE CAP 60S,VITAMINS/MINERALS/SUPPLEMENTS,PHL,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220185908,PROFLORA FEMININE SUPPLEMENTARY 12 CAPS,GSL,PROFLORA,NO RETURN / NO REPLACEMENT,LUNATUS,,
,,220186361,ALFACORT OINTMENT 15GM,PHARMACY,ALFACORT,NO RETURN / NO REPLACEMENT,AL KAYAN MEDICINE TRADING L.L.C,,
,,220201396,VORG TRAD LEMONGRASS TEA 200GM,COMPLEMENTARY MEDICINE,ORGANIC TRADITIONS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201416,V NATROL 5HTP MOOD  STRESS 50MG 30CAPS,COMPLEMENTARY MEDICINE,NATROL,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220159486,NOOTROPIL 800MG TAB 30S,PHARMACY,NOOTROPIL,NO RETURN / NO REPLACEMENT,MODERN PHARMACY,,
,,220186980,GELTEC DOLCIVIT VIT D3 50K 12CAPS,PHARMACY,GELTEC,NO RETURN / NO REPLACEMENT,AL MUFID,,
,,220201472,VTM TURMERIC  MEADOWSWEET  GINGER TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201552,ORG TRAD PROBIOTIC SUPER GREENS WTURMERIC 100GM,GSL,ORGANIC TRADITIONS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220188161,DEPAKINE CHRONO 500 TAB 30S,PHARMACY,DEPAKINE,NO RETURN / NO REPLACEMENT,CITY PHARMACY,,
,,220201554,VTM ECHINACEA PLUS TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220190412,V AG ECHINACEA 270MG CAPS 100S,COMPLEMENTARY MEDICINE,ADRIEN GAGNON,NO RETURN / NO REPLACEMENT,AL HIKIMA,,
,,220201613,V NATURES PLUS ASHWAGANDHA GF 60CAPS,COMPLEMENTARY MEDICINE,NATURES PLUS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201620,VTM THROAT COAT TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201626,VTM STRESS EASE TEA 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220190634,HIGEEN HAND SANITIZER WIPES 15S,TRAVEL HEALTH,HIGEEN,NO RETURN / NO REPLACEMENT,AL MUFID,,
,,220190842,V PHL 5HTP 100 MG 60CAPS,VITAMINS/MINERALS/SUPPLEMENTS,PHL,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220190879,V TOM OLIVER VIT D  K2 60TAB,VITAMINS/MINERALS/SUPPLEMENTS,TOM OLIVER,NO RETURN / NO REPLACEMENT,ALPHAMED GENERAL TRADING,,
,,220190902,NOOZ OPT SC RE BLACK 15,EYE/EAR CARE,NOOZ OPTICS,NO RETURN / NO REPLACEMENT,AL AROOBA,,
,,220201640,V ORG TRAD TURMRC LATTE WSAFRONPROB 150G,GSL,ORGANIC TRADITIONS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201719,V TM ORGANIC SMOOTH MOVE CHAMOMILE 16S,COMPLEMENTARY MEDICINE,TRADITIONAL MEDICINALS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
,,220201762,ORG TRAD CHOCLATE LATTE WASHWGNDHAPROBTCS 150GM,GSL,ORGANIC TRADITIONS,NO RETURN / NO REPLACEMENT,NUTRIPHARM FZCO,,
